"","Teams","DAVE","Off","Def"
"1","TEN",-5.3,34,44.4
"2","BUF",1.3,47.3,-1.9
"3","ARI",2,50.2,8.5
"4","CIN",11.3,38.6,24.3
"5","NYJ",5.6,22.8,35.2
"6","GB",13.3,54.5,-4.2
"7","SF",1.9,40.9,25
"8","KC",8,24.5,6.7
"9","NE",19.4,46.5,-23.2
"10","SD",7.2,17.6,16.1
"11","STL",8.5,3.7,15.3
"12","DEN",14.6,-49.8,58.2
"13","CAR",-2.2,-17.9,39.7
"14","MIA",-2.7,-5.1,2.4
"15","ATL",2.5,-2.1,-3.4
"16","DAL",1.2,2.7,-0.5
"17","NYG",-3.3,-5.5,-6
"18","BAL",3.1,-57.4,41
"19","PHI",2.6,0.5,-3.2
"20","DET",2.1,-6.6,-10.9
"21","PIT",3.7,29.1,-33.3
"22","WAS",-19.5,-8.9,8.5
"23","JAC",-17.6,-36.3,23.1
"24","SEA",17.9,-19.4,-14.3
"25","HOU",-11.1,-4.7,-12.8
"26","CHI",-10.1,4.6,-44.9
"27","IND",0.5,10.9,-33.9
"28","CLE",-15,-40.5,-18
"29","NO",-5.2,-12.8,-47.2
"30","MIN",-2.8,-22.9,-37.2
"31","OAK",-16.2,-40.5,-29.4
"32","TB",-24.1,-79.4,-31.9
