"Teams","DAVE","Off","Def","Total"
"ARI",17.8,59.3,13.6,85.2
"NYJ",11,4.8,39.1,43.3
"PIT",15.9,55.4,-10,40.3
"CIN",14.8,30,13,39.9
"GB",15.5,35.9,-6.8,35.8
"NE",23.1,35.2,-6.7,35.6
"DEN",17.8,-32.2,48.1,26.3
"CAR",3.4,-5.7,37.9,23.9
"TEN",-6.3,5.3,26.9,17.6
"ATL",5.6,13.8,-0.6,13.4
"DAL",-3.6,-8.3,16.9,8.9
"KC",5.7,-11.5,14,6.3
"WAS",-13.2,1.3,14.7,6.1
"BUF",-2.8,12.2,-14.4,5.3
"MIA",-1.6,3.8,-0.7,4.6
"STL",5.7,-8.5,4.5,-1.1
"BAL",3.2,-6.1,-1.6,-1.8
"NYG",-3.3,-3.2,-12.4,-3.4
"SD",3.4,10.6,-6.1,-4.7
"JAC",-13.6,-9.6,8.5,-5.7
"CLE",-9,-20.8,-1.1,-6.3
"DET",-0.3,-4.1,-8.8,-13.3
"SEA",13,-5.6,-16.6,-18
"MIN",-1.2,-5.7,-12.6,-18.9
"OAK",-12.9,2.2,-28.3,-21.2
"PHI",-2.7,-16.6,1.8,-24.4
"SF",-11,0.3,-26.3,-33.6
"HOU",-12.6,-19,-6.4,-34.7
"IND",-4.7,-17.4,-6.6,-35.2
"TB",-21.7,-46.2,-3.5,-42.1
"NO",-12.9,-17.5,-24.7,-53
"CHI",-23.1,-15.9,-48.1,-69
