"Teams","DAVE","Off","Def","Total","ST"
"ARI",27.7,37.8,32.3,76.4,6.3
"GB",25.7,42.8,3.2,51,4.9
"NE",30.3,42,-1.6,47.2,6.9
"CIN",18.2,26.5,11.8,36,-2.3
"BUF",8.2,26.5,-0.1,28.8,2.4
"PIT",11.6,32.8,-3.7,24.8,-4.2
"DEN",18.1,-24.3,39.6,23,7.6
"CAR",6.1,10.7,21,20.3,-11.3
"NYJ",7.5,-11.9,34.5,18.5,-4
"ATL",7.7,23.2,-9.8,14.7,1.3
"TEN",-4.1,4.3,16.3,11.2,-9.4
"SEA",17.3,-4.1,-3.4,8.3,15.8
"NYG",0.3,6.9,-3.2,5.5,1.8
"OAK",-4,12.8,-11.4,5.1,3.7
"DAL",-4.3,4.1,-3.8,0.9,0.6
"MIN",3.1,3,-3.8,0.7,1.6
"STL",4.6,-11.8,8.1,-0.5,3.2
"PHI",1.7,-18.3,17.4,-2.5,-1.6
"WAS",-13.3,-4,0.9,-3.8,-0.7
"BAL",-1,-4.8,-7.3,-9.8,2.3
"KC",-2.3,-13.7,-2.5,-13.9,2.4
"IND",-2.7,-8.7,-1.5,-14.8,-4.6
"DET",-5,-14.9,-4.8,-18.4,1.3
"SD",-3.8,-3.5,-7.2,-18.5,-7.8
"CLE",-15.2,-22.9,-10.8,-23.1,10.6
"MIA",-13.3,-17.3,-11.3,-27.9,0.7
"JAC",-21.4,-11.2,-15.7,-29.3,-2.4
"HOU",-15.5,-17,-1.2,-30.9,-12.6
"NO",-12.7,-4.9,-26.4,-32.4,-1.2
"TB",-23.9,-38.4,2.1,-37.5,-1.1
"SF",-22.7,-21.9,-25.3,-51.4,-4.1
"CHI",-32.8,-21.6,-36,-70.2,-12.6
