HDefVDef,Home Cushion
13.593437,-10
-22.924,4
20.516759,19
9.139691,-17
6.365912,7.5
20.285312,-23
9.908762,-9
0.592856,2
7.260722,13
2.61983,6
-5.978479,17
-18.351193,8
11.071055,10
-0.350911,-16.5
11.014523,7
18.022007,-19
9.339692,8
-7.996738,-12
-13.164007,-1
-5.693812,-10.5
3.09305,-6
12.633791,20
-21.614152,5
-13.581388,-10
-3.692125,4
2.551223,15
-4.533958,-7
4.31345,33
-1.203985,-27
-2.689,10
11.442857,-9
13.744106,5
5.846045,0
7.48991,-10
-4.827937,-1
5.310695,-20.5
-4.655734,-11
2.059631,6
4.944638,5
8.496785,17
-0.020032,11.5
-1.360369,-1.5
5.168633,-7
-1.920811,-9
-18.928066,-4
8.284592,3
2.860313,-7
-3.104236,-11
3.805991,-10
4.989482,0
7.941692,-1
-8.294119,6
-11.859472,15.5
-3.055933,-9.5
4.749539,5
-4.130317,-1
4.757534,-20
3.332312,-15
11.055665,-0.5
-4.93144,-4.5
2.362073,-8
